站点代码,数据时间,气温,气压,相对湿度,风向,风速,降雨量,能见度
53915,20220710136000,2.1,1014.4,28,348,4.4,1.1,10393.9
53923,20220710136000,34.0,1026.0,5,137,14.1,0.5,10074.9
56074,20220710136000,25.1,1009.8,85,248,8.3,0.1,10015.3
56080,20220710136000,18.2,1017.7,67,222,8.6,1.5,10199.9
56093,20220710136000,7.7,1024.4,85,359,3.8,0.0,10234.3
56096,20220710136000,34.7,1014.7,64,346,11.4,1.1,10488.2
57014,20220710136000,3.0,1012.6,71,111,4.1,0.6,10110.1
57996,20220710136000,21.7,1019.7,93,82,4.1,0.2,10452.2
59072,20220710136000,19.7,1013.0,36,4,3.9,0.7,10177.2
59082,20220710136000,5.5,1003.8,16,114,7.3,1.5,10449.9
59087,20220710136000,13.3,1012.5,69,173,7.3,1.0,10369.9
59088,20220710136000,7.8,1012.9,40,230,4.3,1.5,10348.6
59096,20220710136000,6.9,1018.9,89,23,2.9,0.7,10277.4
59097,20220710136000,17.5,1020.7,77,221,8.0,0.7,10347.4
59107,20220710136000,0.1,1015.4,41,63,7.5,0.4,10464.7
59116,20220710136000,24.8,1007.0,65,127,9.6,1.1,10246.6
59117,20220710136000,19.6,1004.7,83,335,3.3,1.4,10210.2
59271,20220710136000,9.8,1015.6,71,93,4.3,0.2,10322.2
59278,20220710136000,10.3,1016.5,7,141,6.4,0.6,10496.3
59280,20220710136000,2.3,1010.3,65,54,5.8,0.0,10120.4
59287,20220710136000,10.3,1011.8,71,315,7.2,0.8,10383.7
59289,20220710136000,22.8,1005.3,13,100,2.1,0.3,10292.9
59293,20220710136000,25.1,1024.8,93,21,2.5,1.4,10296.8
59294,20220710136000,32.1,1006.1,51,153,0.4,1.4,10474.3
59298,20220710136000,22.8,1015.4,41,140,13.0,1.5,10299.9
59303,20220710136000,1.7,1009.3,38,300,8.8,0.1,10238.3
59304,20220710136000,32.3,1009.8,86,277,12.2,1.3,10106.2
59306,20220710136000,0.9,1004.2,46,49,2.3,1.2,10133.2
59310,20220710136000,7.3,1019.7,3,283,0.9,0.7,10390.6
59316,20220710136000,25.4,1007.1,31,235,12.1,0.7,10380.0
59317,20220710136000,7.3,1010.8,88,63,11.1,0.1,10269.3
59324,20220710136000,9.8,1021.4,25,81,8.2,1.3,10339.4
59456,20220710136000,20.2,1003.7,98,87,8.2,0.0,10259.7
59462,20220710136000,8.3,1017.7,47,184,10.5,0.0,10095.9
59478,20220710136000,22.6,1009.3,88,38,2.1,1.0,10057.6
59485,20220710136000,7.5,1001.8,16,118,5.8,0.3,10111.1
59488,20220710136000,32.1,1011.5,22,109,13.0,0.7,10169.1
59493,20220710136000,17.0,1005.6,72,235,7.0,0.9,10128.7
59501,20220710136000,16.0,1023.7,71,341,9.7,0.9,10311.4
59658,20220710136000,29.0,1021.6,7,265,3.9,1.3,10296.6
59663,20220710136000,2.0,1018.7,75,341,2.2,1.5,10314.8
59664,20220710136000,6.8,1015.8,32,56,4.1,1.4,10176.5
59673,20220710136000,10.2,1011.1,15,278,2.1,1.3,10285.2
59754,20220710136000,8.6,1004.1,85,341,8.2,0.2,10456.4
57947,20220710136000,24.3,1011.6,22,315,12.5,1.1,10365.4
57957,20220710136000,24.0,1011.6,61,82,1.5,1.1,10366.6
57958,20220710136000,14.7,1001.1,43,250,6.9,0.4,10284.4
59021,20220710136000,27.9,1013.3,1,141,4.0,0.4,10225.0
59023,20220710136000,20.4,1026.4,53,220,3.7,1.3,10498.5
59027,20220710136000,15.0,1026.2,46,92,1.8,1.3,10358.9
59037,20220710136000,2.2,1004.5,85,314,14.8,0.6,10091.3
59046,20220710136000,28.4,1002.2,25,158,8.0,0.9,10435.3
59058,20220710136000,5.2,1026.3,78,39,4.0,0.5,10179.2
59065,20220710136000,28.1,1005.9,28,142,7.8,0.4,10203.2
59209,20220710136000,32.3,1006.8,73,264,3.6,0.0,10376.8
59211,20220710136000,13.6,1002.9,47,312,7.6,1.1,10483.7
59218,20220710136000,28.0,1014.2,35,43,1.5,0.8,10024.7
59228,20220710136000,25.6,1004.3,34,95,0.0,0.1,10091.6
59242,20220710136000,0.9,1025.7,36,159,7.3,1.5,10133.1
59254,20220710136000,20.5,1007.9,47,53,0.8,0.9,10131.1
59265,20220710136000,30.1,1004.5,10,247,7.2,0.7,10286.1
59417,20220710136000,17.7,1017.7,65,135,5.3,0.1,10053.0
59431,20220710136000,14.9,1019.5,60,311,5.0,1.0,10388.5
59446,20220710136000,28.8,1009.7,80,232,7.6,0.1,10168.3
59453,20220710136000,0.4,1011.7,24,303,4.2,0.0,10138.4
59626,20220710136000,10.2,1015.5,53,224,3.7,1.2,10140.6
59631,20220710136000,9.0,1013.9,30,113,12.6,0.8,10280.2
59632,20220710136000,22.1,1024.3,41,239,4.5,1.5,10277.3
59644,20220710136000,11.5,1016.6,10,18,1.9,0.0,10481.0
59647,20220710136000,28.7,1005.2,53,48,4.7,0.1,10303.5
56691,20220710136000,32.8,1014.8,32,309,13.7,1.2,10244.8
56693,20220710136000,6.7,1014.2,4,252,14.0,0.7,10297.7
56792,20220710136000,9.6,1002.4,28,148,1.3,0.8,10232.1
56793,20220710136000,17.9,1014.6,50,347,14.0,0.9,10401.0
57606,20220710136000,32.3,1016.5,60,75,3.4,1.0,10272.8
57614,20220710136000,10.0,1004.9,84,239,5.8,1.4,10372.7
57625,20220710136000,28.0,1011.7,29,97,9.6,0.3,10343.5
57647,20220710136000,31.9,1020.1,66,253,6.9,1.4,10297.4
57707,20220710136000,27.5,1003.9,69,290,13.0,0.8,10075.9
57710,20220710136000,10.7,1018.5,35,117,7.7,1.3,10153.1
57712,20220710136000,34.5,1007.0,14,356,8.7,0.1,10269.4
57718,20220710136000,23.6,1025.0,72,105,9.6,0.8,10075.9
57722,20220710136000,28.8,1004.7,85,156,2.2,0.4,10190.4
57729,20220710136000,10.4,1008.2,5,218,10.5,1.0,10430.2
57731,20220710136000,8.3,1018.4,37,347,6.4,0.5,10075.8
57741,20220710136000,4.1,1003.7,82,178,4.3,0.0,10162.8
57803,20220710136000,24.4,1021.1,79,297,4.3,0.2,10284.1
57805,20220710136000,29.0,1000.2,13,149,0.1,0.8,10485.6
57806,20220710136000,24.4,1011.3,48,10,1.7,0.3,10075.8
57816,20220710136000,31.5,1004.0,66,255,7.7,1.0,10097.3
57825,20220710136000,6.1,1007.1,10,214,9.2,1.5,10167.8
57827,20220710136000,14.4,1002.7,57,73,12.1,0.8,10218.4
57832,20220710136000,0.2,1008.3,15,191,14.6,0.5,10088.6
57839,20220710136000,12.2,1003.1,84,319,8.1,0.5,10351.7
57840,20220710136000,18.1,1025.0,9,323,9.8,1.3,10469.6
57902,20220710136000,3.7,1001.3,73,146,11.2,0.5,10225.9
57906,20220710136000,5.3,1009.1,54,108,14.2,0.7,10108.0
57907,20220710136000,1.0,1013.0,65,196,7.7,1.2,10113.0
57910,20220710136000,34.2,1001.4,90,271,4.6,0.1,10262.7
57912,20220710136000,28.0,1024.5,9,65,12.9,1.3,10068.5
57916,20220710136000,23.0,1018.7,43,257,1.5,0.0,10472.8
57922,20220710136000,18.1,1013.7,29,190,14.8,0.4,10184.7
57926,20220710136000,18.4,1019.9,14,247,4.3,0.6,10263.2
57932,20220710136000,21.9,1005.4,71,317,2.4,1.4,10241.3
59758,20220710136000,29.8,1019.1,87,259,2.3,0.0,10271.6
59838,20220710136000,28.9,1016.8,66,218,9.6,0.9,10174.9
59845,20220710136000,9.7,1012.6,7,333,8.6,1.5,10191.2
59849,20220710136000,3.9,1013.6,24,121,8.2,0.5,10365.5
59855,20220710136000,1.0,1022.1,34,334,13.7,0.7,10227.7
59948,20220710136000,20.7,1003.1,94,154,13.0,1.4,10324.4
59954,20220710136000,14.6,1019.0,6,252,4.6,1.5,10040.6
59981,20220710136000,34.8,1009.5,10,314,11.1,0.1,10498.4
53399,20220710136000,1.9,1001.0,99,351,10.6,0.7,10484.1
53593,20220710136000,34.9,1018.6,83,239,0.7,1.1,10176.4
53698,20220710136000,18.3,1017.7,70,77,4.2,0.2,10361.5
53798,20220710136000,16.8,1015.5,39,55,2.5,0.0,10199.3
54308,20220710136000,17.9,1011.8,30,313,11.3,1.5,10022.4
54311,20220710136000,20.3,1002.9,55,156,7.0,1.2,10401.3
54401,20220710136000,4.2,1009.1,41,199,5.3,0.9,10296.1
54405,20220710136000,0.7,1023.1,31,319,7.8,0.8,10255.5
54423,20220710136000,1.9,1012.8,57,133,0.1,0.5,10135.5
54429,20220710136000,33.8,1016.1,63,19,8.2,1.2,10188.5
54436,20220710136000,33.8,1013.4,83,191,7.5,0.6,10355.6
54449,20220710136000,29.3,1011.0,92,28,12.3,0.1,10099.8
54518,20220710136000,1.5,1008.9,83,304,1.0,0.2,10172.5
54534,20220710136000,27.2,1000.2,76,268,14.5,1.0,10035.3
54535,20220710136000,20.9,1023.5,75,131,6.9,0.0,10352.7
54539,20220710136000,24.7,1002.7,18,235,12.0,1.2,10249.0
54602,20220710136000,15.6,1022.1,24,235,2.2,1.3,10361.2
54606,20220710136000,29.3,1016.7,2,276,12.4,1.2,10481.9
54618,20220710136000,23.1,1006.3,45,278,2.9,1.4,10249.5
54624,20220710136000,1.8,1025.9,96,77,6.1,1.2,10304.6
54705,20220710136000,29.9,1018.6,80,357,0.7,1.0,10328.4
53898,20220710136000,11.8,1017.9,28,204,10.8,1.2,10384.0
53986,20220710136000,16.6,1009.9,38,125,12.7,0.9,10378.7
57051,20220710136000,17.2,1003.6,37,81,8.0,0.0,10198.5
57067,20220710136000,5.0,1010.5,35,7,2.7,1.3,10068.3
57071,20220710136000,30.7,1005.8,33,326,7.9,0.8,10440.8
57077,20220710136000,4.1,1000.5,96,322,9.9,1.2,10281.5
57083,20220710136000,3.3,1002.5,84,329,1.9,0.0,10056.3
57084,20220710136000,4.8,1013.4,61,15,10.4,1.4,10464.9
57089,20220710136000,10.1,1001.0,32,308,7.8,0.8,10359.6
57091,20220710136000,24.1,1023.9,22,345,6.4,0.1,10479.0
57156,20220710136000,9.6,1017.6,49,255,11.9,1.5,10199.2
57178,20220710136000,22.8,1014.6,88,267,10.5,0.3,10494.5
57181,20220710136000,27.1,1019.9,59,93,0.6,0.5,10411.8
57193,20220710136000,4.8,1000.0,1,181,8.1,0.9,10075.9
57285,20220710136000,10.4,1023.3,60,324,9.2,0.7,10368.2
57290,20220710136000,2.2,1013.3,48,259,14.2,0.6,10163.4
57297,20220710136000,13.0,1021.1,74,329,3.2,1.1,10201.7
58005,20220710136000,29.6,1015.0,69,324,8.0,0.4,10234.8
58111,20220710136000,15.0,1024.0,57,270,3.0,1.1,10494.2
58208,20220710136000,11.3,1006.1,38,115,6.5,0.0,10461.9
50136,20220710136000,32.2,1006.3,26,236,1.1,0.6,10406.2
50246,20220710136000,10.4,1010.7,74,103,0.7,1.3,10445.4
50247,20220710136000,20.5,1021.7,77,173,5.4,0.5,10304.5
50349,20220710136000,11.4,1008.7,42,289,8.1,0.2,10473.3
50353,20220710136000,16.2,1016.7,80,187,4.0,0.0,10067.0
50442,20220710136000,20.4,1019.9,34,56,3.6,1.0,10411.1
50468,20220710136000,6.8,1023.7,43,85,1.6,0.6,10170.5
50557,20220710136000,25.6,1001.0,7,154,6.0,0.3,10135.2
50564,20220710136000,23.1,1004.0,61,339,14.7,1.1,10256.0
50656,20220710136000,33.4,1001.5,62,230,9.9,1.1,10344.6
50658,20220710136000,27.8,1002.0,22,13,10.9,0.7,10069.9
50674,20220710136000,9.0,1000.1,62,337,8.9,0.3,10431.2
50739,20220710136000,6.5,1014.3,68,260,4.8,1.5,10387.9
50742,20220710136000,27.7,1010.8,78,224,1.5,1.0,10434.6
50745,20220710136000,24.2,1009.7,65,25,14.5,0.1,10321.3
50756,20220710136000,17.4,1016.0,62,184,13.4,0.6,10041.4
50758,20220710136000,7.6,1019.3,38,132,11.1,0.5,10086.1
50774,20220710136000,15.5,1005.6,96,9,0.5,1.2,10270.1
50778,20220710136000,21.0,1018.1,73,299,10.4,1.3,10138.6
50788,20220710136000,2.2,1003.1,88,239,2.7,1.2,10179.8
50844,20220710136000,31.4,1009.2,30,316,11.5,0.6,10036.7
50853,20220710136000,26.6,1011.8,25,70,11.0,1.5,10380.0
50854,20220710136000,8.6,1005.0,47,51,11.1,0.2,10353.1
50862,20220710136000,2.1,1024.9,28,140,13.8,1.4,10101.6
50873,20220710136000,11.4,1001.9,76,138,8.6,0.4,10488.5
50877,20220710136000,22.6,1019.3,75,322,4.6,0.6,10182.4
50888,20220710136000,7.9,1018.9,25,37,6.4,0.2,10320.0
50950,20220710136000,29.8,1002.0,1,23,5.6,0.3,10351.5
50953,20220710136000,22.4,1008.9,96,239,10.8,1.1,10460.2
50955,20220710136000,27.7,1004.4,4,80,5.2,0.5,10186.7
50963,20220710136000,8.8,1017.5,60,239,4.4,1.1,10433.6
50968,20220710136000,3.4,1026.3,7,306,5.5,1.4,10105.9
50973,20220710136000,16.5,1014.7,97,298,13.3,1.2,10475.2
50978,20220710136000,10.8,1003.7,60,241,4.8,0.2,10074.7
50983,20220710136000,26.0,1016.5,77,274,11.7,0.7,10052.5
54094,20220710136000,24.7,1002.7,3,164,3.2,1.2,10177.3
54096,20220710136000,7.8,1023.0,44,251,10.8,1.2,10147.9
57251,20220710136000,13.1,1010.8,79,167,0.7,0.1,10379.2
57256,20220710136000,15.1,1010.5,23,6,14.2,1.4,10265.3
57259,20220710136000,2.3,1005.7,27,315,5.9,0.8,10142.3
57265,20220710136000,0.6,1006.6,15,291,6.3,0.6,10071.6
57278,20220710136000,26.2,1005.7,92,187,14.0,0.2,10131.7
57279,20220710136000,4.9,1024.7,36,254,0.9,0.5,10241.6
57355,20220710136000,23.0,1024.6,26,155,10.0,1.5,10241.2
57358,20220710136000,31.3,1024.9,95,175,12.7,1.3,10316.1
57359,20220710136000,21.1,1001.4,22,24,2.3,0.5,10423.1
57363,20220710136000,29.0,1010.0,38,24,14.4,0.0,10334.4
57378,20220710136000,34.6,1019.5,32,349,4.6,0.9,10106.3
57381,20220710136000,17.3,1017.0,20,208,14.6,1.3,10329.7
57395,20220710136000,32.1,1002.4,3,74,9.5,0.4,10421.1
57399,20220710136000,3.2,1002.9,62,25,7.6,0.2,10093.8
57439,20220710136000,14.2,1016.5,73,36,6.0,1.1,10471.9
57445,20220710136000,24.3,1010.9,15,65,12.7,0.9,10478.6
57447,20220710136000,16.2,1021.9,34,187,2.5,0.3,10040.8
57458,20220710136000,24.8,1022.3,92,73,0.2,1.2,10346.0
57461,20220710136000,25.3,1009.9,85,43,13.1,1.2,10294.4
57476,20220710136000,21.1,1016.7,70,283,12.6,0.4,10321.4
57482,20220710136000,0.4,1012.4,79,167,2.0,0.7,10325.2
57483,20220710136000,1.0,1018.3,88,301,6.2,1.4,10432.6
57493,20220710136000,3.5,1015.6,98,307,4.2,0.6,10208.1
57494,20220710136000,24.1,1007.0,82,20,0.2,1.5,10355.5
57545,20220710136000,34.0,1003.2,36,344,5.6,0.9,10347.3
57573,20220710136000,6.5,1015.9,90,235,2.5,0.0,10192.5
57581,20220710136000,1.5,1012.8,15,23,4.6,0.0,10228.1
57583,20220710136000,23.0,1008.3,53,75,13.8,0.6,10060.0
57595,20220710136000,17.8,1013.4,63,194,2.6,0.9,10142.0
58402,20220710136000,34.7,1024.8,23,61,13.9,1.1,10272.7
58407,20220710136000,10.7,1010.0,37,131,0.0,1.5,10211.5
58500,20220710136000,3.9,1013.5,10,188,1.5,1.4,10216.3
57554,20220710136000,21.3,1007.0,95,256,14.1,1.2,10261.0
57562,20220710136000,11.4,1018.3,82,353,6.8,0.7,10287.6
57574,20220710136000,25.3,1015.3,56,162,0.8,0.8,10103.0
57584,20220710136000,14.5,1004.5,34,220,11.2,1.4,10494.5
57642,20220710136000,13.6,1000.8,8,160,1.0,1.3,10378.1
57649,20220710136000,32.9,1001.7,52,2,6.2,0.8,10268.8
57655,20220710136000,21.0,1019.9,96,211,5.8,1.0,10232.7
57662,20220710136000,17.7,1015.6,44,329,9.3,0.4,10356.7
57669,20220710136000,16.6,1002.3,42,122,8.3,0.4,10056.0
57671,20220710136000,23.3,1004.1,45,49,11.0,1.5,10209.6
57673,20220710136000,7.7,1005.2,53,296,2.1,0.3,10430.0
57679,20220710136000,3.4,1013.1,17,138,0.0,0.4,10140.7
57682,20220710136000,30.9,1015.3,70,321,6.1,1.4,10119.9
57687,20220710136000,31.7,1022.3,99,163,11.4,0.2,10279.8
57745,20220710136000,27.9,1013.9,17,120,2.6,0.0,10483.6
57749,20220710136000,5.0,1009.4,8,299,12.3,1.1,10039.6
57752,20220710136000,20.1,1023.0,9,58,12.4,0.1,10338.8
57758,20220710136000,22.2,1016.7,56,134,0.5,1.3,10350.5
57761,20220710136000,0.8,1017.2,23,134,9.6,0.6,10483.6
57766,20220710136000,21.8,1021.1,55,221,13.2,0.1,10332.3
57774,20220710136000,1.5,1019.9,82,340,2.4,0.6,10424.3
57776,20220710136000,18.7,1008.4,23,176,1.3,0.1,10120.2
57779,20220710136000,1.5,1003.8,53,130,3.7,1.4,10085.3
57780,20220710136000,10.6,1000.8,84,277,3.1,1.3,10319.5
57841,20220710136000,32.6,1017.8,84,321,4.2,0.0,10262.5
57845,20220710136000,33.9,1012.4,6,5,7.6,1.5,10187.1
57853,20220710136000,2.3,1002.2,28,280,14.2,1.1,10461.6
57857,20220710136000,13.1,1014.2,87,64,12.6,0.1,10327.2
57860,20220710136000,27.1,1017.9,52,111,1.2,1.0,10454.4
57866,20220710136000,8.1,1021.4,100,202,10.5,0.4,10163.8
57872,20220710136000,20.6,1001.5,93,293,14.4,0.0,10495.0
57874,20220710136000,18.8,1007.4,36,299,10.7,0.1,10406.5
57889,20220710136000,22.1,1014.0,57,292,0.6,0.8,10288.8
57965,20220710136000,33.1,1000.2,62,266,14.3,1.2,10099.6
57972,20220710136000,11.8,1008.8,37,54,5.5,0.0,10495.3
57974,20220710136000,10.2,1014.5,45,252,0.0,1.5,10466.2
50936,20220710136000,30.3,1011.3,96,324,0.0,0.4,10227.5
50945,20220710136000,30.0,1015.2,53,46,0.6,0.9,10009.3
50948,20220710136000,24.0,1022.2,1,203,9.7,0.8,10438.3
50949,20220710136000,14.7,1020.4,50,337,1.9,0.5,10019.6
54041,20220710136000,18.2,1023.0,62,222,3.0,0.1,10278.4
54049,20220710136000,17.7,1021.3,16,88,12.5,0.7,10449.6
54063,20220710136000,33.0,1022.5,19,235,11.2,0.2,10456.9
54064,20220710136000,23.7,1002.4,29,85,13.0,1.3,10260.9
54142,20220710136000,34.8,1010.2,24,115,14.9,0.1,10298.9
54157,20220710136000,24.6,1001.3,37,223,6.1,1.5,10094.4
54161,20220710136000,32.5,1018.7,66,151,0.7,0.3,10048.6
54165,20220710136000,28.5,1023.1,98,322,11.7,0.9,10030.8
54171,20220710136000,4.6,1010.4,22,50,12.9,0.8,10083.2
54181,20220710136000,2.1,1015.3,88,142,3.1,0.3,10336.5
54186,20220710136000,11.7,1021.3,30,82,5.2,1.0,10206.5
54195,20220710136000,13.2,1007.5,66,262,8.6,1.4,10486.8
54260,20220710136000,29.9,1011.5,64,82,4.6,1.2,10425.5
54263,20220710136000,4.1,1003.2,83,288,6.6,0.1,10370.7
54266,20220710136000,20.9,1019.1,100,84,2.6,0.8,10242.9
54273,20220710136000,22.8,1015.5,37,70,10.5,1.3,10125.9
54276,20220710136000,15.0,1009.1,89,258,0.6,1.1,10499.4
54284,20220710136000,17.9,1001.4,57,122,12.2,0.2,10212.1
54285,20220710136000,4.7,1014.8,65,299,5.9,0.3,10289.1
54286,20220710136000,8.2,1005.9,15,284,1.9,1.4,10083.1
54292,20220710136000,28.7,1023.4,80,149,2.0,1.1,10273.0
54363,20220710136000,6.6,1023.8,72,54,6.2,0.3,10368.3
54374,20220710136000,12.2,1001.2,11,356,8.5,0.2,10145.4
54377,20220710136000,11.8,1014.7,52,342,8.6,1.3,10212.6
54386,20220710136000,28.0,1021.8,54,153,12.2,1.2,10280.8
58026,20220710136000,4.1,1014.8,74,204,7.8,0.8,10456.6
58027,20220710136000,1.2,1020.5,28,159,14.7,1.3,10261.3
58038,20220710136000,4.1,1008.9,73,348,10.8,1.1,10045.1
58040,20220710136000,34.7,1010.1,10,321,10.9,1.0,10062.8
58047,20220710136000,29.1,1023.8,41,357,5.3,0.5,10065.7
58130,20220710136000,8.1,1017.4,12,145,3.4,0.6,10494.5
58135,20220710136000,5.9,1008.5,61,197,9.6,0.0,10059.4
58138,20220710136000,18.3,1000.8,60,98,14.9,0.0,10058.5
58141,20220710136000,28.9,1000.6,38,31,3.4,0.5,10002.3
58143,20220710136000,8.6,1024.2,74,122,10.1,0.0,10330.3
58150,20220710136000,24.1,1021.2,52,1,5.7,0.0,10484.8
58158,20220710136000,33.3,1003.8,88,289,10.8,1.1,10349.9
58238,20220710136000,4.2,1012.7,11,259,10.4,1.1,10460.8
58241,20220710136000,13.6,1006.3,83,60,7.0,0.3,10342.0
58251,20220710136000,18.4,1023.7,2,200,11.9,0.5,10139.7
58252,20220710136000,3.0,1010.4,73,253,1.9,0.8,10051.5
58255,20220710136000,20.6,1023.9,2,347,7.8,1.5,10137.0
58259,20220710136000,12.9,1005.7,22,147,14.0,0.8,10178.9
58265,20220710136000,25.9,1016.6,15,245,10.3,1.5,10464.3
58343,20220710136000,5.5,1001.2,32,344,14.3,0.8,10491.1
58345,20220710136000,18.4,1020.1,32,73,2.7,1.2,10133.0
58354,20220710136000,30.3,1018.7,92,190,11.1,0.5,10148.6
58356,20220710136000,20.4,1014.9,77,355,8.0,1.4,10265.5
58358,20220710136000,15.5,1011.3,99,210,13.2,1.3,10212.4
57598,20220710136000,32.7,1000.5,5,131,10.3,1.2,10443.5
57696,20220710136000,23.2,1023.5,69,266,2.0,0.4,10174.4
57789,20220710136000,25.7,1009.5,46,217,14.6,0.1,10011.6
57793,20220710136000,28.0,1019.6,6,334,2.6,0.3,10334.5
57799,20220710136000,15.9,1008.9,93,36,7.0,0.4,10331.8
57894,20220710136000,28.8,1015.6,16,116,10.9,0.4,10301.6
57896,20220710136000,24.3,1021.3,23,102,12.5,1.5,10128.5
57993,20220710136000,2.2,1016.7,5,309,11.0,0.1,10055.5
58506,20220710136000,11.8,1025.2,94,287,9.8,0.1,10429.6
